"","probe_ID","TE_Identity","Class","Family","SubFamily"
"1","ILMN_1705326","LINE:L2:L2a","LINE","L2","L2a"
"2","ILMN_3241309","Satellite:telo:TAR1","Satellite","telo","TAR1"
"3","ILMN_3247765","LINE:L2:L2c","LINE","L2","L2c"
"4","ILMN_1723732","LTR:ERVL-MaLR:MLT1J2","LTR","ERVL-MaLR","MLT1J2"
"5","ILMN_3241335","LTR:ERV1:MER4A","LTR","ERV1","MER4A"
"6","ILMN_3235006","SINE:Alu:AluSz","SINE","Alu","AluSz"
"8","ILMN_3238852","DNA:hAT-Charlie:MER1A","DNA","hAT-Charlie","MER1A"
"9","ILMN_3249415","SINE:Alu:AluJo","SINE","Alu","AluJo"
"10","ILMN_3249496","SINE:Alu:AluJo","SINE","Alu","AluJo"
"11","ILMN_3210217","SINE:Alu:AluJb","SINE","Alu","AluJb"
"12","ILMN_3249449","SINE:Alu:AluJb","SINE","Alu","AluJb"
"17","ILMN_1729660","SINE:Alu:AluJb","SINE","Alu","AluJb"
"18","ILMN_3242833","SINE:Alu:AluJr","SINE","Alu","AluJr"
"19","ILMN_3235061","LTR:ERVL:LTR41","LTR","ERVL","LTR41"
"20","ILMN_3234783","DNA:hAT-Charlie:MER1A","DNA","hAT-Charlie","MER1A"
"21","ILMN_3248904","DNA:hAT-Charlie:MER1A","DNA","hAT-Charlie","MER1A"
"25","ILMN_1686847","SINE:Alu:AluJr4","SINE","Alu","AluJr4"
"34","ILMN_1729660","SINE:Alu:AluJr","SINE","Alu","AluJr"
"46","ILMN_3256471","DNA:TcMar-Tigger:MER44D","DNA","TcMar-Tigger","MER44D"
"47","ILMN_1854472","SINE:MIR:MIRb","SINE","MIR","MIRb"
"49","ILMN_1755526","LTR:ERV1:HERV3-int","LTR","ERV1","HERV3-int"
"51","ILMN_3246273","snRNA:snRNA:U1","snRNA","snRNA","U1"
"52","ILMN_3244646","snRNA:snRNA:U1","snRNA","snRNA","U1"
"53","ILMN_1664289","tRNA:tRNA:tRNA-Glu-GAA","tRNA","tRNA","tRNA-Glu-GAA"
"61","ILMN_1686974","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"62","ILMN_1731838","LTR:ERVL:HERVL-int","LTR","ERVL","HERVL-int"
"63","ILMN_1704065","SINE:MIR:MIR3","SINE","MIR","MIR3"
"64","ILMN_1678208","LINE:L1:L1M1","LINE","L1","L1M1"
"67","ILMN_1809513","DNA:hAT-Charlie:MER20B","DNA","hAT-Charlie","MER20B"
"68","ILMN_1754955","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"69","ILMN_1677082","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"70","ILMN_1701857","LTR:ERVL:LTR16A","LTR","ERVL","LTR16A"
"71","ILMN_1859661","LINE:L1:L1MB4","LINE","L1","L1MB4"
"72","ILMN_1711711","DNA:hAT-Charlie:MER5A1","DNA","hAT-Charlie","MER5A1"
"74","ILMN_1779625","LINE:L2:L2c","LINE","L2","L2c"
"75","ILMN_1859661","LINE:L1:L1MB2","LINE","L1","L1MB2"
"78","ILMN_1665210","LTR:ERVL-MaLR:MLT1D","LTR","ERVL-MaLR","MLT1D"
"79","ILMN_1665210","SINE:Alu:FLAM_C","SINE","Alu","FLAM_C"
"81","ILMN_1859661","LINE:L1:L1MCa","LINE","L1","L1MCa"
"82","ILMN_1654588","LTR:ERVL:LTR16A","LTR","ERVL","LTR16A"
"83","ILMN_1710362","SINE:Alu:AluJr","SINE","Alu","AluJr"
"86","ILMN_1689012","LINE:L1:L1P2","LINE","L1","L1P2"
"87","ILMN_1812250","SINE:Alu:AluSx","SINE","Alu","AluSx"
"88","ILMN_1699575","LTR:ERVL-MaLR:MLT1N2","LTR","ERVL-MaLR","MLT1N2"
"92","ILMN_1807262","LINE:L2:L2c","LINE","L2","L2c"
"99","ILMN_1776339","LINE:L1:L1ME1","LINE","L1","L1ME1"
"100","ILMN_1776339","LTR:ERV1:PABL_A","LTR","ERV1","PABL_A"
"110","ILMN_1776125","tRNA:tRNA:tRNA-Lys-AAA","tRNA","tRNA","tRNA-Lys-AAA"
"114","ILMN_1711385","LTR:ERVL-MaLR:MSTA","LTR","ERVL-MaLR","MSTA"
"115","ILMN_1711385","LTR:ERVL-MaLR:MSTA-int","LTR","ERVL-MaLR","MSTA-int"
"116","ILMN_3246771","LTR:ERVL:LTR41","LTR","ERVL","LTR41"
"117","ILMN_1729660","SINE:Alu:AluJr4","SINE","Alu","AluJr4"
"119","ILMN_1844299","LTR:ERV1:HERVH-int","LTR","ERV1","HERVH-int"
"132","ILMN_1786606","LTR:ERVL-MaLR:THE1C","LTR","ERVL-MaLR","THE1C"
"133","ILMN_1724269","LINE:L1:L1MDa","LINE","L1","L1MDa"
"143","ILMN_1671585","LTR:ERV1:Harlequin-int","LTR","ERV1","Harlequin-int"
"145","ILMN_1666074","LINE:RTE:L4","LINE","RTE","L4"
"146","ILMN_1793373","SINE:Alu:AluSc","SINE","Alu","AluSc"
